#Time	X	Y	Z	22:0.212:8.661:4.047	23:12.704:3.873:2.398	24:11.649:0.058:0.333	26:12.704:15.277:1.494	27:0.719:3.864:0.068	28:12.704:9.745:3.695	2b:0.717:3.87:2.522	2c:2.312:0.052:1.369	2e:8.822:15.64:3.91	30:12.61:9.768:0.064	3f:7.05:0.064:3.295
1459998297.62  4.0886081461   9.3634886097   1.90589954068     4.49459008489  10.187698877   12.0756097152  10.6047811615  6.70314041446   0  6.56232905445  9.57056553881  0              0              9.82642065798
1459998297.7   4.24353752301  9.52022737646  1.91823514498     4.71380588115  10.261198      12.2077636316  10.450631202   6.99564578506   0  6.74310126531  9.71206709941  0              8.46674345474  9.79574108441
1459998297.78  4.27860201496  9.51294571399  2.76614588319     4.03680369159  10.180937909   12.2040520171  10.0907530455  7.09441137544   0  6.79026046544  9.78481623259  0              8.65039929189  9.77568665415
1459998297.86  4.37113688703  9.67632367598  1.9750258667      4.95583187599  10.1556228144  12.2770052253  10.2234720188  7.21783123385   0  6.81053344948  9.95465913739  0              8.50134432143  9.92769943794
1459998297.94  4.48638577567  9.60953446189  2.84504267191     4.72897585326  10.1207803516  12.1995700029  10.0619095031  7.40300489832   0  6.96548730166  9.82415914916  0              8.75965467373  9.81264834877
1459998298.02  4.57554950571  9.78527406623  2.92111820278     4.52470156085  10.0694370316  12.188473782   9.96995508241  7.55476724684   0  7.32405653702  10.0952858232  0              0              10.0452699534
1459998298.1   4.71618288131  9.85349722619  2.62153388286     4.94310046083  10.0055856279  12.3276821751  9.80262795591  7.64693146631   0  7.36199633337  10.0235229642  0              8.29183916056  10.0077900126
1459998298.22  5.15243723492  10.3374511855  -0.0845529417514  6.81017246624  10.4730346343  12.1435005383  8.69180006357  0               0  7.94853809156  10.2947038247  0              0              11.2848245441
1459998298.3   5.06344151584  9.98259060713  2.45099415487     5.41145570939  9.76719879573  12.1820259949  9.36364868165  7.82772504856   0  7.54268194862  10.3687695698  0              8.01815299764  10.0573200838
1459998298.38  5.07787297893  10.0290960394  2.1102927289      5.43777324673  9.79854485168  0              9.32684176068  0               0  7.74431315839  10.2753629573  0              7.88467233856  10.197957721
1459998298.46  5.29617042228  10.0710304064  2.02957567243     5.67437612763  9.6367557167   0              9.17022925475  7.96190688917   0  7.86393450533  10.4379534236  0              7.62123936174  10.2257210919
1459998298.54  5.37039871849  10.2132914859  1.8726504388      5.78309328012  9.67748810828  12.0954356961  8.98061292983  8.02516873793   0  8.00757185853  10.632847146   0              7.44366393211  10.338452095
1459998298.62  5.54821137828  10.2131048957  1.64743854743     6.04707276266  9.64655108477  12.0056484127  8.88199838287  8.19141730272   0  8.11018371267  10.59693973    0              7.14304655443  10.302861964
1459998298.7   5.61802059173  10.2715485685  1.64134605432     6.25977429428  9.57636984528  11.9337882056  8.749667035    8.30666347138   0  8.21888485435  10.6517296189  0              7.34263651642  10.3685278712
1459998298.78  5.73520037613  10.2071850564  1.3331237109      6.38562612391  9.39556092463  0              9.00129643374  8.36677157523   0  8.37056825682  10.7406190364  0              7.04036998024  10.3617968315
1459998298.86  5.93372273272  10.2488178463  1.14408860075     6.62676632371  9.3000459947   11.7464067084  8.5346102522   0               0  8.47896560847  10.8384550536  0              6.85099446519  10.433203494
1459998298.94  6.15020949977  10.2824934476  1.08752149425     6.78487711406  9.357170576    11.7148082525  8.36466108445  8.52662618327   0  8.5822706338   10.9030399188  0              6.39252294317  10.3854224488
1459998299.02  6.26907112959  10.2960224894  1.16538940256     6.83754013584  9.19161967286  11.7012657111  8.32276500411  8.58634758449   0  8.66797400741  11.0262933288  0              6.27175389017  10.4081032266
1459998299.1   6.37217924527  10.2604443566  0.902004342036    7.03156226305  9.13064020742  0              8.1411515107   8.53754540554   0  8.6602176521   11.0618085927  0              6.19123235556  10.524780844
1459998299.22  7.08445844219  11.2845191858  3.65649558091     7.14950473758  9.39597067298  11.4999372027  6.07649606857  10.4122445744   0  10.6889057447  11.1300223026  0              8.14331811981  11.8299718333
1459998299.3   6.66904984949  10.3164796634  1.51295700132     7.05477538504  8.78519812064  11.5111162769  0              8.8095443014    0  8.91103001935  11.1489400935  0              6.10118132374  10.4637388528
1459998299.38  6.78886954538  10.2610258017  1.01421283701     7.48171364964  8.74161525388  11.514840853   0              8.79953776965   0  8.90769112054  0              0              5.87144941513  10.3962404226
1459998299.46  6.84229299242  10.3192851932  1.46992986933     7.44618296971  8.72628014738  11.4151344144  0              8.95932586192   0  9.07486666914  11.2246327286  0              6.16123243198  10.315828409
1459998299.54  7.09671618342  10.196035567   1.61380691661     7.4931232609   8.44212675539  11.2316396883  0              9.03592881331   0  9.09803467024  11.2604524761  0              5.79309040769  10.2253116286
1459998299.62  7.24283571058  10.0912413618  1.48953876154     7.57678036041  8.36664698623  10.9145370438  0              9.12967301321   0  9.09445898647  11.2439172388  0              5.58050771799  10.1959099216
1459998299.7   7.19495446287  10.2526096472  1.54259909766     7.74819342147  0              0              0              9.19281717933   0  9.19497250545  11.3287309881  0              5.81421805159  10.2542871555
