Format Version,1.1,Take Name,Take 2016-04-07 08.32.07 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 08.32.07.811 PM,Total Frames,2981,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10000,Marker_10000,Marker_10000,Marker_10002,Marker_10002,Marker_10002
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702712","8392B20CF49E35702712","8392B20CF49E35702712"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
267,2.225000,-2.093830,1.411631,2.801648,,,
268,2.233333,-2.093831,1.411590,2.801585,,,
269,2.241667,-2.093832,1.411544,2.801560,,,
270,2.250000,-2.093799,1.411570,2.801477,,,
271,2.258333,-2.093862,1.411620,2.801526,,,
272,2.266667,-2.093757,1.411544,2.801608,,,
273,2.275000,-2.093841,1.411595,2.801571,,,
274,2.283333,-2.093762,1.411641,2.801602,,,
275,2.291667,-2.093765,1.411648,2.801546,,,
276,2.300000,-2.093774,1.411635,2.801647,,,
277,2.308333,-2.093640,1.411515,2.801587,,,
278,2.316667,-2.093736,1.411568,2.801583,,,
279,2.325000,-2.093935,1.411541,2.801475,,,
280,2.333333,-2.093767,1.411603,2.801539,,,
281,2.341667,-2.093813,1.411603,2.801624,,,
282,2.350000,-2.093802,1.411599,2.801517,,,
283,2.358333,-2.093718,1.411530,2.801573,,,
284,2.366667,-2.093660,1.411583,2.801679,,,
285,2.375000,-2.093759,1.411571,2.801596,,,
286,2.383333,-2.093697,1.411488,2.801610,,,
287,2.391667,-2.093823,1.411514,2.801500,,,
288,2.400000,-2.093810,1.411563,2.801458,,,
289,2.408333,-2.093738,1.411498,2.801646,,,
290,2.416667,-2.093704,1.411489,2.801618,,,
291,2.425000,-2.093765,1.411544,2.801625,,,
292,2.433333,-2.093805,1.411575,2.801560,,,
293,2.441667,-2.093785,1.411578,2.801581,,,
294,2.450000,-2.093708,1.411530,2.801647,,,
295,2.458333,-2.093760,1.411585,2.801588,,,
296,2.466667,-2.093753,1.411544,2.801546,,,
297,2.475000,-2.093796,1.411530,2.801538,,,
298,2.483333,-2.093770,1.411484,2.801561,,,
299,2.491667,-2.093754,1.411522,2.801569,,,
300,2.500000,-2.093733,1.411574,2.801613,,,
301,2.508333,-2.093783,1.411548,2.801526,,,
302,2.516667,-2.093758,1.411616,2.801678,,,
303,2.525000,-2.093827,1.411531,2.801529,,,
304,2.533333,-2.093767,1.411537,2.801605,,,
305,2.541667,-2.093727,1.411557,2.801601,,,
306,2.550000,-2.093791,1.411607,2.801568,,,
307,2.558333,-2.093705,1.411496,2.801601,,,
308,2.566667,-2.093749,1.411537,2.801659,,,
309,2.575000,-2.093744,1.411567,2.801580,,,
310,2.583333,-2.093798,1.411605,2.801569,,,
311,2.591667,-2.093863,1.411626,2.801533,,,
312,2.600000,-2.093781,1.411603,2.801555,,,
313,2.608333,-2.093750,1.411612,2.801594,,,
314,2.616667,-2.093831,1.411559,2.801529,,,
315,2.625000,-2.093759,1.411518,2.801655,,,
316,2.633333,-2.093826,1.411565,2.801597,,,
317,2.641667,-2.093785,1.411524,2.801589,,,
318,2.650000,-2.093741,1.411451,2.801548,,,
319,2.658333,-2.093813,1.411483,2.801595,,,
320,2.666667,-2.093787,1.411551,2.801595,,,
321,2.675000,-2.093878,1.411582,2.801559,,,
322,2.683333,-2.093774,1.411606,2.801615,,,
323,2.691667,-2.093808,1.411527,2.801593,,,
324,2.700000,-2.093776,1.411616,2.801571,,,
325,2.708333,-2.093729,1.411538,2.801693,,,
326,2.716667,-2.093733,1.411602,2.801605,,,
327,2.725000,-2.093800,1.411590,2.801615,,,
328,2.733333,-2.093806,1.411632,2.801529,,,
329,2.741667,-2.093727,1.411568,2.801718,,,
330,2.750000,-2.093807,1.411552,2.801607,,,
331,2.758333,-2.093839,1.411628,2.801582,,,
332,2.766667,-2.093801,1.411645,2.801538,,,
333,2.775000,-2.093691,1.411651,2.801645,,,
334,2.783333,-2.093768,1.411609,2.801571,,,
335,2.791667,-2.093814,1.411685,2.801613,,,
336,2.800000,-2.093790,1.411532,2.801621,,,
