11.02 6.91 5.91 X X 9.03 X X 6.16 6.14 X X 10.70 X 7.00 X 8.50 X 
11.76 7.40 5.76 X X 8.71 X X 5.31 5.41 X X 11.55 X 7.09 X 7.91 X 
11.82 7.47 5.65 X X 8.41 X X 5.31 X X X 11.52 X 7.15 X 7.95 X 
11.81 X 5.72 X X 8.43 X X 5.31 X X X 11.58 X 7.11 X 7.93 X 
X X X X X 8.35 X X X X X X X X 7.03 X 7.93 X 
11.82 7.45 5.74 X X 8.61 X X 5.24 X X X 11.57 X 7.07 X 7.91 X 
11.88 7.45 5.78 X X 8.46 X X 5.29 X X X 11.64 X 7.06 X 7.88 X 
- 7.45 5.74 X X 8.34 X X 5.24 X X X 11.57 X 7.05 X 7.96 X 
11.83 7.48 5.73 X X 8.53 X X 5.24 X X X 11.56 X 7.06 X 7.90 X 
11.85 7.49 5.67 X X 8.13 X X 5.30 X X X 11.56 X 7.12 X 7.94 X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X 7.09 X X X 
11.86 7.46 5.67 X X 8.49 X X 5.28 X X X 11.53 X 7.08 X 7.93 X 
11.79 7.43 5.72 X X 8.40 X X 5.28 5.30 X X 11.65 X 7.06 X 7.94 X 
11.87 7.44 5.47 X X 8.49 X X 5.29 5.41 X X 11.53 X 7.09 X 7.92 X 
11.83 7.50 5.71 X X 8.53 X X 5.25 5.37 X X 11.52 X 7.05 X 7.92 X 
11.81 7.43 5.71 X X 8.47 X X 5.24 5.37 X X 11.58 X 7.04 X 7.92 X 
11.80 7.49 5.73 X X 8.47 X X 5.27 5.44 X X 11.63 X 7.06 X 7.90 X 
11.78 7.49 5.75 X X 8.51 X X 5.25 5.32 X X 11.61 X 7.01 X 7.94 X 
11.87 7.43 5.72 X X 8.41 X X 5.27 5.36 X X 11.60 X 7.03 X 7.93 X 
- 7.53 5.81 X X 8.50 X X 5.31 5.38 X X 11.50 X 7.06 X 7.93 X 
11.80 7.46 5.69 X X 8.43 X X 5.29 5.35 X X 11.53 X 7.04 X 7.91 X 
11.85 7.48 5.75 X X 8.37 X X 5.32 5.40 X X 11.54 X 7.09 X 7.96 X 
11.84 7.51 5.53 X X 8.38 X X 5.25 X X X 11.58 X 7.03 X 7.91 X 
11.84 7.52 5.82 X X 8.41 X X 5.28 X X X 11.56 X 7.01 X 7.90 X 
X X 5.70 X X X X X X X X X X X X X X X 
11.86 X X X X X X X X X X X X X X X X X 
- X X X X X X X - X X X - X X X X X 
11.86 X X X X X X X X X X X X X X X X X 
11.85 7.49 5.68 X X 8.45 X X 5.28 X X X 11.49 X 7.08 X 8.01 X 
11.88 7.46 5.76 X X 8.46 X X 5.23 X X X 11.55 X 7.13 X X X 
11.87 7.51 5.71 X X 8.47 X X 5.26 X X X 11.58 X 7.10 X 7.98 X 
X 7.48 X X X X X X X X X X X X X X X X 
11.78 7.50 X X X 8.45 X X 5.31 X X X 11.56 X 7.13 X 7.99 X 
11.83 7.48 5.78 X X 8.45 X X 5.32 X X X 11.49 X 7.03 X 7.95 X 
11.84 7.47 5.77 X X 8.45 X X 5.28 5.34 X X 11.55 X 7.05 X 7.93 X 
11.88 7.46 5.73 X X 8.38 X X 5.30 5.36 X X 11.52 X 7.07 X 7.91 X 
11.83 7.54 5.69 X X 8.45 X X 5.22 5.31 X X 11.66 X 7.08 X 7.94 X 
11.88 7.43 5.71 X X 8.39 X X 5.32 5.33 X X 11.50 X 7.09 X 7.96 X 
- 7.49 5.75 X X 8.51 X X 5.26 X X X 11.52 X 7.05 X 7.95 X 
11.84 7.42 5.58 X X 8.54 X X 5.25 X X X 11.64 X 7.07 X 7.95 X 
11.79 X X X X X X X X X X X X X X X X X 
- 7.49 5.70 X X - X X 5.30 X X X 11.57 X 7.09 X 7.96 X 
- 7.47 5.76 X X 8.37 X X 5.31 5.36 X X 11.57 X 7.07 X 7.86 X 
1
