X X 7.39 X X 10.89 X X X X X X X X X X X X 
8.84 X 7.30 X X 10.91 X X X 8.83 X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.77 X 7.34 X X 10.94 X X X 8.77 X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.80 X 7.35 X X 10.91 X X X X X X X X X X X X 
8.88 X 7.37 X X 10.88 X X X 8.81 X X X X X X X X 
8.76 X 7.29 X X 10.92 X X X 8.79 X X 8.18 X 7.06 X 10.26 X 
8.81 X 7.39 X X 10.89 X X X 8.82 X X X X X X X X 
8.85 X 7.39 X X 10.86 X X X 8.83 X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 5.80 X X X X X X X X X X X X X X X X 
8.78 X 7.32 X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.88 X 7.33 X X 10.94 X X X 8.73 X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X 5.72 X X X 10.91 X X X 8.76 X X 8.16 X X X X X 
X X X X X X X X X X X X X X X X X X 
8.80 X 7.33 X X 10.91 X X X 8.83 X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.83 X 7.43 X X 10.89 X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.74 X 7.37 X X X X X X X X X X X X X X X 
8.76 X 7.28 X X 10.88 X X 8.80 X X X X X X X X X 
8.84 X 7.35 X X 10.89 X X 8.74 X X X X X X X X X 
8.75 X 7.44 X X 10.92 X X 8.76 X X X X X X X X X 
8.83 X 7.33 X X 10.86 X X 8.82 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.85 X 7.37 X X 10.90 X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.86 X 7.36 X X 10.89 X X X X X X X X X X X X 
8.85 X 7.41 X X 10.88 X X 8.75 X X X X X X X X X 
X X 7.33 X X 10.91 X X 8.80 X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
X X 7.35 X X 10.88 X X X X X X X X X X X X 
X X X X X X X X X X X X X X X X X X 
8.76 X 7.38 X X 10.92 X X 8.81 X X X X X X X X X 
8
