Format Version,1.1,Take Name,Take 2016-04-06 08.06.07 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-06 08.06.07.168 PM,Total Frames,2810,Rotation Type,Quaternion

,,Marker,Marker,Marker
,,Marker_10302,Marker_10302,Marker_10302
,,"8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E3570283E"
,,Position,Position,Position
Frame,Time,X,Y,Z
298,2.483333,-3.410433,1.415454,3.989528
299,2.491667,-3.410403,1.415379,3.989430
300,2.500000,-3.410460,1.415323,3.989464
301,2.508333,-3.410429,1.415372,3.989429
302,2.516667,-3.410512,1.415270,3.989412
303,2.525000,-3.410437,1.415313,3.989433
304,2.533333,-3.410516,1.415420,3.989487
305,2.541667,-3.410453,1.415381,3.989465
306,2.550000,-3.410571,1.415225,3.989407
307,2.558333,-3.410531,1.415346,3.989487
308,2.566667,-3.410498,1.415378,3.989516
309,2.575000,-3.410491,1.415387,3.989474
310,2.583333,-3.410526,1.415344,3.989480
311,2.591667,-3.410559,1.415358,3.989511
312,2.600000,-3.410561,1.415284,3.989449
313,2.608333,-3.410609,1.415385,3.989538
314,2.616667,-3.410626,1.415284,3.989463
315,2.625000,-3.410513,1.415420,3.989503
316,2.633333,-3.410503,1.415278,3.989424
317,2.641667,-3.410538,1.415344,3.989487
318,2.650000,-3.410527,1.415270,3.989427
319,2.658333,-3.410608,1.415402,3.989503
320,2.666667,-3.410576,1.415346,3.989503
321,2.675000,-3.410684,1.415257,3.989471
322,2.683333,-3.410594,1.415228,3.989393
323,2.691667,-3.410518,1.415295,3.989458
324,2.700000,-3.410682,1.415228,3.989411
325,2.708333,-3.410532,1.415406,3.989544
326,2.716667,-3.410592,1.415339,3.989479
327,2.725000,-3.410621,1.415249,3.989433
328,2.733333,-3.410645,1.415216,3.989425
329,2.741667,-3.410624,1.415301,3.989417
330,2.750000,-3.410620,1.415381,3.989497
331,2.758333,-3.410600,1.415326,3.989523
332,2.766667,-3.410501,1.415391,3.989509
333,2.775000,-3.410535,1.415399,3.989541
334,2.783333,-3.410700,1.415318,3.989492
335,2.791667,-3.410633,1.415405,3.989573
336,2.800000,-3.410706,1.415350,3.989550
337,2.808333,-3.410717,1.415314,3.989509
338,2.816667,-3.410547,1.415363,3.989518
339,2.825000,-3.410584,1.415207,3.989354
340,2.833333,-3.410578,1.415281,3.989434
341,2.841667,-3.410559,1.415344,3.989503
342,2.850000,-3.410559,1.415446,3.989560
343,2.858333,-3.410522,1.415443,3.989575
344,2.866667,-3.410570,1.415395,3.989481
345,2.875000,-3.410486,1.415459,3.989548
346,2.883333,-3.410582,1.415424,3.989522
347,2.891667,-3.410590,1.415363,3.989490
348,2.900000,-3.410599,1.415309,3.989460
349,2.908333,-3.410553,1.415271,3.989398
350,2.916667,-3.410603,1.415328,3.989501
351,2.925000,-3.410580,1.415292,3.989449
352,2.933333,-3.410588,1.415353,3.989454
353,2.941667,-3.410616,1.415324,3.989502
354,2.950000,-3.410635,1.415349,3.989491
355,2.958333,-3.410675,1.415339,3.989489
356,2.966667,-3.410656,1.415372,3.989529
357,2.975000,-3.410613,1.415260,3.989458
358,2.983333,-3.410598,1.415252,3.989409
359,2.991667,-3.410556,1.415309,3.989444
360,3.000000,-3.410594,1.415440,3.989539
361,3.008333,-3.410599,1.415430,3.989582
