Format Version,1.1,Take Name,Take 2016-04-06 08.07.11 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-06 08.07.11.120 PM,Total Frames,3226,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10302,Marker_10302,Marker_10302,Marker_10310,Marker_10310,Marker_10310
,,"8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E3570283E","8392B20CF49E35702846","8392B20CF49E35702846","8392B20CF49E35702846"
,,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z
285,2.375000,-2.943241,1.423225,0.308006,,,
286,2.383333,-2.943259,1.423188,0.307979,,,
287,2.391667,-2.943275,1.423157,0.307957,,,
288,2.400000,-2.943273,1.423060,0.307999,,,
289,2.408333,-2.943290,1.423104,0.307978,,,
290,2.416667,-2.943319,1.423043,0.307927,,,
291,2.425000,-2.943296,1.423082,0.307957,,,
292,2.433333,-2.943269,1.423141,0.307963,,,
293,2.441667,-2.943292,1.423116,0.307966,,,
294,2.450000,-2.943318,1.423108,0.307971,,,
295,2.458333,-2.943348,1.423117,0.307928,,,
296,2.466667,-2.943240,1.423070,0.307942,,,
297,2.475000,-2.943338,1.423160,0.307982,,,
298,2.483333,-2.943276,1.423187,0.307980,,,
299,2.491667,-2.943277,1.423213,0.307991,,,
300,2.500000,-2.943252,1.423175,0.308012,,,
301,2.508333,-2.943218,1.423140,0.308014,,,
302,2.516667,-2.943261,1.423153,0.308067,,,
303,2.525000,-2.943244,1.423074,0.307967,,,
304,2.533333,-2.943274,1.423134,0.307936,,,
305,2.541667,-2.943293,1.423088,0.308046,,,
306,2.550000,-2.943278,1.423134,0.307977,,,
307,2.558333,-2.943258,1.423154,0.308008,,,
308,2.566667,-2.943244,1.423126,0.308001,,,
309,2.575000,-2.943301,1.423130,0.307908,,,
310,2.583333,-2.943227,1.423054,0.307936,,,
311,2.591667,-2.943197,1.423067,0.307959,,,
312,2.600000,-2.943174,1.423079,0.307942,,,
313,2.608333,-2.943248,1.423102,0.307954,,,
314,2.616667,-2.943175,1.423137,0.308003,,,
315,2.625000,-2.943244,1.423056,0.307976,,,
316,2.633333,-2.943211,1.423078,0.307929,,,
317,2.641667,-2.943214,1.423145,0.307982,,,
318,2.650000,-2.943253,1.423203,0.308008,,,
319,2.658333,-2.943253,1.423205,0.308032,,,
320,2.666667,-2.943212,1.423116,0.308010,,,
321,2.675000,-2.943214,1.423070,0.307919,,,
322,2.683333,-2.943238,1.423148,0.307966,,,
323,2.691667,-2.943270,1.423086,0.307952,,,
324,2.700000,-2.943326,1.423171,0.307934,,,
325,2.708333,-2.943245,1.423139,0.307996,,,
326,2.716667,-2.943322,1.423115,0.307913,,,
327,2.725000,-2.943207,1.423120,0.307992,,,
328,2.733333,-2.943240,1.423224,0.307944,,,
329,2.741667,-2.943236,1.423152,0.307962,,,
330,2.750000,-2.943233,1.423122,0.307999,,,
331,2.758333,-2.943213,1.423139,0.307982,,,
332,2.766667,-2.943233,1.423142,0.307994,,,
333,2.775000,-2.943253,1.423084,0.308000,,,
334,2.783333,-2.943253,1.423136,0.307996,,,
