Format Version,1.1,Take Name,Take 2016-04-07 09.26.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 09.26.14.430 PM,Total Frames,11477,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10363,Marker_10363,Marker_10363,Marker_10368,Marker_10368,Marker_10368,Marker_10367,Marker_10367,Marker_10367,Marker_10371,Marker_10371,Marker_10371,Marker_10373,Marker_10373,Marker_10373
,,"8392B20CF49E3570287B","8392B20CF49E3570287B","8392B20CF49E3570287B","8392B20CF49E35702880","8392B20CF49E35702880","8392B20CF49E35702880","8392B20CF49E3570287F","8392B20CF49E3570287F","8392B20CF49E3570287F","8392B20CF49E35702883","8392B20CF49E35702883","8392B20CF49E35702883","8392B20CF49E35702885","8392B20CF49E35702885","8392B20CF49E35702885"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
141,1.175000,0.084303,1.959687,-4.339499,,,,,,,,,,,,
142,1.183333,0.084360,1.959750,-4.339242,,,,,,,,,,,,
143,1.191667,0.084402,1.959628,-4.339326,,,,,,,,,,,,
144,1.200000,0.084482,1.959508,-4.339306,,,,,,,,,,,,
145,1.208333,0.084453,1.959756,-4.339272,,,,,,,,,,,,
146,1.216667,0.082169,1.959771,-4.342279,,,,,,,,,,,,
147,1.225000,0.084456,1.959685,-4.339262,,,,,,,,,,,,
148,1.233333,0.084502,1.959549,-4.339210,,,,,,,,,,,,
149,1.241667,0.084460,1.959641,-4.339237,,,,,,,,,,,,
150,1.250000,0.084475,1.959619,-4.339150,,,,,,,,,,,,
151,1.258333,0.084567,1.959604,-4.339239,,,,,,,,,,,,
152,1.266667,0.084459,1.959548,-4.339216,,,,,,,,,,,,
153,1.275000,0.084608,1.959480,-4.339345,,,,,,,,,,,,
154,1.283333,0.084440,1.959589,-4.339283,,,,,,,,,,,,
155,1.291667,0.084501,1.959740,-4.339330,,,,,,,,,,,,
156,1.300000,0.084437,1.959589,-4.339277,,,,,,,,,,,,
157,1.308333,0.084616,1.959539,-4.339435,,,,,,,,,,,,
158,1.316667,0.084435,1.959731,-4.339315,,,,,,,,,,,,
159,1.325000,0.084449,1.959555,-4.339347,,,,,,,,,,,,
160,1.333333,0.081917,1.960044,-4.342379,,,,,,,,,,,,
161,1.341667,0.084496,1.959718,-4.339374,,,,,,,,,,,,
162,1.350000,0.084500,1.959527,-4.339444,,,,,,,,,,,,
163,1.358333,0.084395,1.959583,-4.339292,,,,,,,,,,,,
164,1.366667,0.084487,1.959574,-4.339264,,,,,,,,,,,,
165,1.375000,0.084389,1.959624,-4.339331,,,,,,,,,,,,
166,1.383333,0.084481,1.959560,-4.339180,,,,,,,,,,,,
167,1.391667,0.084480,1.959684,-4.339184,,,,,,,,,,,,
168,1.400000,0.084465,1.959710,-4.339355,,,,,,,,,,,,
169,1.408333,0.082230,1.959902,-4.342158,,,,,,,,,,,,
170,1.416667,0.082144,1.959930,-4.342035,,,,,,,,,,,,
171,1.425000,0.084591,1.959647,-4.339035,,,,,,,,,,,,
172,1.433333,0.084554,1.959659,-4.338909,,,,,,,,,,,,
173,1.441667,0.082196,1.959918,-4.341817,,,,,,,,,,,,
174,1.450000,0.082104,1.959768,-4.341758,,,,,,,,,,,,
175,1.458333,0.082019,1.959848,-4.341582,,,,,,,,,,,,
176,1.466667,0.082098,1.959780,-4.341536,,,,,,,,,,,,
177,1.475000,0.082163,1.959816,-4.341440,,,,,,,,,,,,
178,1.483333,0.082182,1.959830,-4.341231,,,,,,,,,,,,
179,1.491667,0.082241,1.959922,-4.341101,,,,,,,,,,,,
180,1.500000,0.081976,1.959914,-4.340937,,,,,,,,,,,,
181,1.508333,0.084313,1.959692,-4.337758,,,,,,,,,,,,
182,1.516667,0.082078,1.959964,-4.340716,,,,,,,,,,,,
183,1.525000,0.081905,1.959953,-4.340589,,,,,,,,,,,,
184,1.533333,0.081988,1.960040,-4.340555,,,,,,,,,,,,
185,1.541667,0.081990,1.959919,-4.340574,,,,,,,,,,,,
186,1.550000,0.082004,1.959989,-4.340545,,,,,,,,,,,,
187,1.558333,0.082138,1.959782,-4.340464,,,,,,,,,,,,
188,1.566667,0.082059,1.960016,-4.340375,,,,,,,,,,,,
189,1.575000,0.082235,1.959908,-4.340199,,,,,,,,,,,,
190,1.583333,0.082318,1.959876,-4.340180,,,,,,,,,,,,
191,1.591667,0.082258,1.959865,-4.340061,,,,,,,,,,,,
192,1.600000,0.082380,1.959777,-4.339978,,,,,,,,,,,,
193,1.608333,0.082185,1.959939,-4.339843,,,,,,,,,,,,
194,1.616667,0.084541,1.959732,-4.336797,,,,,,,,,,,,
195,1.625000,0.082339,1.959957,-4.339613,,,,,,,,,,,,
196,1.633333,0.082318,1.960068,-4.339624,,,,,,,,,,,,
197,1.641667,0.084702,1.959631,-4.336815,,,,,,,,,,,,
198,1.650000,0.084652,1.959712,-4.336711,,,,,,,,,,,,
199,1.658333,0.084846,1.959706,-4.336824,,,,,,,,,,,,
200,1.666667,0.084855,1.959717,-4.336673,,,,,,,,,,,,
201,1.675000,0.084765,1.959749,-4.336500,,,,,,,,,,,,
