Format Version,1.1,Take Name,Take 2016-04-07 09.30.11 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 09.30.11.679 PM,Total Frames,8363,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10008,Marker_10008,Marker_10008,Marker_10009,Marker_10009,Marker_10009,Marker_10010,Marker_10010,Marker_10010
,,"8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702718","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E35702719","8392B20CF49E3570271A","8392B20CF49E3570271A","8392B20CF49E3570271A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
150,1.250000,-3.611733,1.946040,-3.674177,,,,,,
151,1.258333,-3.611892,1.946163,-3.674314,,,,,,
152,1.266667,-3.611663,1.945956,-3.674627,,,,,,
153,1.275000,-3.611558,1.945889,-3.674908,,,,,,
154,1.283333,-3.611487,1.945878,-3.675129,,,,,,
155,1.291667,-3.611360,1.945880,-3.675391,,,,,,
156,1.300000,-3.611371,1.945850,-3.675545,,,,,,
157,1.308333,-3.611364,1.945862,-3.675762,,,,,,
158,1.316667,,,,,,,,,
159,1.325000,-3.611253,1.945924,-3.676209,,,,,,
160,1.333333,,,,,,,,,
161,1.341667,,,,,,,,,
162,1.350000,,,,,,,,,
163,1.358333,,,,,,,,,
164,1.366667,,,,,,,,,
165,1.375000,,,,,,,,,
166,1.383333,,,,,,,,,
167,1.391667,,,,,,,,,
168,1.400000,,,,,,,,,
169,1.408333,,,,,,,,,
170,1.416667,,,,,,,,,
171,1.425000,-3.603086,1.940260,-3.680148,,,,,,
172,1.433333,-3.602988,1.940213,-3.680250,,,,,,
173,1.441667,-3.605156,1.944877,-3.674508,,,,,,
174,1.450000,-3.602829,1.940064,-3.680485,,,,,,
175,1.458333,-3.603040,1.940280,-3.680463,,,,,,
176,1.466667,-3.605264,1.944870,-3.674763,,,,,,
177,1.475000,-3.603054,1.940231,-3.680550,,,,,,
178,1.483333,-3.605074,1.944954,-3.674614,,,,,,
179,1.491667,-3.604858,1.944856,-3.674761,,,,,,
180,1.500000,-3.604987,1.944943,-3.674686,,,,,,
181,1.508333,-3.604887,1.944936,-3.674673,,,,,,
182,1.516667,-3.604489,1.944846,-3.674400,,,,,,
183,1.525000,-3.604502,1.944909,-3.674606,,,,,,
184,1.533333,-3.604556,1.944843,-3.674802,,,,,,
185,1.541667,-3.604607,1.944764,-3.674745,,,,,,
186,1.550000,-3.604624,1.944959,-3.674400,,,,,,
187,1.558333,-3.604684,1.944815,-3.674443,,,,,,
188,1.566667,-3.604495,1.944732,-3.674839,,,,,,
189,1.575000,-3.604459,1.944761,-3.674584,,,,,,
190,1.583333,-3.604467,1.945019,-3.674521,,,,,,
191,1.591667,-3.604229,1.944847,-3.674606,,,,,,
192,1.600000,-3.604105,1.944813,-3.674698,,,,,,
193,1.608333,-3.603960,1.944787,-3.674819,,,,,,
194,1.616667,-3.603772,1.944825,-3.674777,,,,,,
195,1.625000,-3.603529,1.944795,-3.674818,,,,,,
196,1.633333,-3.603463,1.944767,-3.674824,,,,,,
197,1.641667,-3.603270,1.944782,-3.674641,,,,,,
198,1.650000,-3.603078,1.944775,-3.674794,,,,,,
199,1.658333,-3.602920,1.944698,-3.674930,,,,,,
200,1.666667,-3.602767,1.944742,-3.674959,,,,,,
201,1.675000,-3.602669,1.944840,-3.674676,,,,,,
202,1.683333,-3.602487,1.944812,-3.674751,,,,,,
203,1.691667,-3.602261,1.944818,-3.674983,,,,,,
204,1.700000,-3.602228,1.944949,-3.675137,,,,,,
205,1.708333,-3.601980,1.944804,-3.675442,,,,,,
206,1.716667,-3.601890,1.944973,-3.675535,,,,,,
207,1.725000,-3.601833,1.944919,-3.675603,,,,,,
208,1.733333,-3.601811,1.944935,-3.675864,,,,,,
209,1.741667,-3.601628,1.944900,-3.675955,,,,,,
210,1.750000,-3.601573,1.945058,-3.675834,,,,,,
211,1.758333,-3.601556,1.945010,-3.676107,,,,,,
212,1.766667,-3.601539,1.944969,-3.675999,,,,,,
213,1.775000,-3.601489,1.944893,-3.676000,,,,,,
214,1.783333,-3.601415,1.944896,-3.675879,,,,,,
215,1.791667,-3.601532,1.944989,-3.676061,,,,,,
216,1.800000,-3.601564,1.944985,-3.676008,,,,,,
217,1.808333,-3.601535,1.944852,-3.675936,,,,,,
