Format Version,1.1,Take Name,Take 2016-04-07 08.33.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-07 08.33.14.076 PM,Total Frames,3720,Rotation Type,Quaternion

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Marker_10000,Marker_10000,Marker_10000,Marker_10014,Marker_10014,Marker_10014,Marker_10015,Marker_10015,Marker_10015,Marker_10016,Marker_10016,Marker_10016,Marker_10017,Marker_10017,Marker_10017,Marker_10019,Marker_10019,Marker_10019
,,"8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E35702710","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E3570271E","8392B20CF49E3570271F","8392B20CF49E3570271F","8392B20CF49E3570271F","8392B20CF49E35702720","8392B20CF49E35702720","8392B20CF49E35702720","8392B20CF49E35702721","8392B20CF49E35702721","8392B20CF49E35702721","8392B20CF49E35702723","8392B20CF49E35702723","8392B20CF49E35702723"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
96,0.800000,-2.310222,1.423670,1.461241,,,,,,,,,,,,,,,
97,0.808333,-2.310196,1.423763,1.461254,,,,,,,,,,,,,,,
98,0.816667,-2.310276,1.423778,1.461290,,,,,,,,,,,,,,,
99,0.825000,-2.310237,1.423795,1.461309,,,,,,,,,,,,,,,
100,0.833333,-2.310223,1.423750,1.461235,,,,,,,,,,,,,,,
101,0.841667,-2.310206,1.423762,1.461279,,,,,,,,,,,,,,,
102,0.850000,-2.310296,1.423794,1.461270,,,,,,,,,,,,,,,
103,0.858333,-2.310263,1.423780,1.461336,,,,,,,,,,,,,,,
104,0.866667,-2.310280,1.423814,1.461332,,,,,,,,,,,,,,,
105,0.875000,-2.310261,1.423744,1.461385,,,,,,,,,,,,,,,
106,0.883333,-2.310274,1.423810,1.461313,,,,,,,,,,,,,,,
107,0.891667,-2.310301,1.423781,1.461293,,,,,,,,,,,,,,,
108,0.900000,-2.310178,1.423747,1.461431,,,,,,,,,,,,,,,
109,0.908333,-2.310257,1.423702,1.461340,,,,,,,,,,,,,,,
110,0.916667,-2.310301,1.423800,1.461334,,,,,,,,,,,,,,,
111,0.925000,-2.310359,1.423852,1.461353,,,,,,,,,,,,,,,
112,0.933333,-2.310326,1.423785,1.461318,,,,,,,,,,,,,,,
113,0.941667,-2.310341,1.423777,1.461296,,,,,,,,,,,,,,,
114,0.950000,-2.310311,1.423792,1.461380,,,,,,,,,,,,,,,
115,0.958333,-2.310190,1.423772,1.461399,,,,,,,,,,,,,,,
116,0.966667,-2.310233,1.423807,1.461422,,,,,,,,,,,,,,,
117,0.975000,-2.310143,1.423811,1.461505,,,,,,,,,,,,,,,
118,0.983333,-2.310233,1.423784,1.461445,,,,,,,,,,,,,,,
119,0.991667,-2.310304,1.423742,1.461367,,,,,,,,,,,,,,,
120,1.000000,-2.310259,1.423775,1.461440,,,,,,,,,,,,,,,
121,1.008333,-2.310230,1.423759,1.461399,,,,,,,,,,,,,,,
122,1.016667,-2.310291,1.423806,1.461385,,,,,,,,,,,,,,,
123,1.025000,-2.310293,1.423781,1.461443,,,,,,,,,,,,,,,
124,1.033333,-2.310300,1.423705,1.461392,,,,,,,,,,,,,,,
125,1.041667,-2.310292,1.423776,1.461418,,,,,,,,,,,,,,,
126,1.050000,-2.310318,1.423842,1.461332,,,,,,,,,,,,,,,
127,1.058333,-2.310317,1.423814,1.461360,,,,,,,,,,,,,,,
128,1.066667,-2.310305,1.423804,1.461388,,,,,,,,,,,,,,,
129,1.075000,-2.310299,1.423816,1.461435,,,,,,,,,,,,,,,
130,1.083333,-2.310301,1.423792,1.461330,,,,,,,,,,,,,,,
131,1.091667,-2.310377,1.423816,1.461360,,,,,,,,,,,,,,,
132,1.100000,-2.310224,1.423802,1.461427,,,,,,,,,,,,,,,
133,1.108333,-2.310338,1.423824,1.461293,,,,,,,,,,,,,,,
134,1.116667,-2.310313,1.423767,1.461462,,,,,,,,,,,,,,,
135,1.125000,-2.310322,1.423779,1.461442,,,,,,,,,,,,,,,
136,1.133333,-2.310299,1.423805,1.461444,,,,,,,,,,,,,,,
137,1.141667,-2.310307,1.423802,1.461392,,,,,,,,,,,,,,,
138,1.150000,-2.310274,1.423757,1.461420,,,,,,,,,,,,,,,
139,1.158333,-2.310333,1.423757,1.461377,,,,,,,,,,,,,,,
140,1.166667,-2.310275,1.423773,1.461405,,,,,,,,,,,,,,,
141,1.175000,-2.310363,1.423751,1.461412,,,,,,,,,,,,,,,
142,1.183333,-2.310222,1.423824,1.461543,,,,,,,,,,,,,,,
143,1.191667,-2.310253,1.423822,1.461452,,,,,,,,,,,,,,,
144,1.200000,-2.310352,1.423833,1.461386,,,,,,,,,,,,,,,
145,1.208333,-2.310286,1.423765,1.461480,,,,,,,,,,,,,,,
146,1.216667,-2.310321,1.423788,1.461438,,,,,,,,,,,,,,,
147,1.225000,-2.310340,1.423813,1.461450,,,,,,,,,,,,,,,
148,1.233333,-2.310316,1.423831,1.461389,,,,,,,,,,,,,,,
149,1.241667,-2.310318,1.423786,1.461413,,,,,,,,,,,,,,,
150,1.250000,-2.310304,1.423758,1.461440,,,,,,,,,,,,,,,
151,1.258333,-2.310376,1.423821,1.461409,,,,,,,,,,,,,,,
152,1.266667,-2.310291,1.423797,1.461437,,,,,,,,,,,,,,,
153,1.275000,-2.310298,1.423774,1.461444,,,,,,,,,,,,,,,
154,1.283333,-2.310336,1.423726,1.461419,,,,,,,,,,,,,,,
155,1.291667,-2.310316,1.423830,1.461440,,,,,,,,,,,,,,,
156,1.300000,-2.310300,1.423826,1.461460,,,,,,,,,,,,,,,
157,1.308333,-2.310344,1.423839,1.461461,,,,,,,,,,,,,,,
158,1.316667,-2.310418,1.423771,1.461410,,,,,,,,,,,,,,,
159,1.325000,-2.310353,1.423833,1.461458,,,,,,,,,,,,,,,
160,1.333333,-2.310311,1.423816,1.461428,,,,,,,,,,,,,,,
161,1.341667,-2.310326,1.423842,1.461449,,,,,,,,,,,,,,,
162,1.350000,-2.310331,1.423776,1.461457,,,,,,,,,,,,,,,
163,1.358333,-2.310315,1.423764,1.461454,,,,,,,,,,,,,,,
164,1.366667,-2.310246,1.423709,1.461507,,,,,,,,,,,,,,,
165,1.375000,-2.310281,1.423777,1.461464,,,,,,,,,,,,,,,
166,1.383333,-2.310306,1.423811,1.461458,,,,,,,,,,,,,,,
167,1.391667,-2.310268,1.423763,1.461401,,,,,,,,,,,,,,,
168,1.400000,-2.310268,1.423738,1.461487,,,,,,,,,,,,,,,
169,1.408333,-2.310363,1.423799,1.461461,,,,,,,,,,,,,,,
170,1.416667,-2.310304,1.423809,1.461411,,,,,,,,,,,,,,,
171,1.425000,-2.310252,1.423799,1.461445,,,,,,,,,,,,,,,
172,1.433333,-2.310227,1.423771,1.461497,,,,,,,,,,,,,,,
173,1.441667,-2.310196,1.423758,1.461372,,,,,,,,,,,,,,,
174,1.450000,-2.310192,1.423845,1.461471,,,,,,,,,,,,,,,
175,1.458333,-2.310236,1.423783,1.461406,,,,,,,,,,,,,,,
176,1.466667,-2.310205,1.423760,1.461390,,,,,,,,,,,,,,,
177,1.475000,-2.310265,1.423765,1.461332,,,,,,,,,,,,,,,
178,1.483333,-2.310246,1.423803,1.461450,,,,,,,,,,,,,,,
179,1.491667,-2.310265,1.423701,1.461274,,,,,,,,,,,,,,,
180,1.500000,-2.310234,1.423754,1.461373,,,,,,,,,,,,,,,
181,1.508333,-2.310278,1.423787,1.461362,,,,,,,,,,,,,,,
182,1.516667,-2.310272,1.423805,1.461364,,,,,,,,,,,,,,,
183,1.525000,-2.310323,1.423846,1.461331,,,,,,,,,,,,,,,
184,1.533333,-2.310346,1.423795,1.461278,,,,,,,,,,,,,,,
185,1.541667,-2.310291,1.423739,1.461277,,,,,,,,,,,,,,,
186,1.550000,-2.310392,1.423767,1.461285,,,,,,,,,,,,,,,
187,1.558333,-2.310338,1.423839,1.461272,,,,,,,,,,,,,,,
188,1.566667,-2.310282,1.423819,1.461306,,,,,,,,,,,,,,,
189,1.575000,-2.310290,1.423767,1.461260,,,,,,,,,,,,,,,
190,1.583333,-2.310287,1.423802,1.461244,,,,,,,,,,,,,,,
191,1.591667,-2.310285,1.423757,1.461277,,,,,,,,,,,,,,,
192,1.600000,-2.310270,1.423775,1.461320,,,,,,,,,,,,,,,
193,1.608333,-2.310314,1.423859,1.461282,,,,,,,,,,,,,,,
194,1.616667,-2.310364,1.423812,1.461268,,,,,,,,,,,,,,,
195,1.625000,-2.310303,1.423772,1.461313,,,,,,,,,,,,,,,
196,1.633333,-2.310315,1.423823,1.461255,,,,,,,,,,,,,,,
